node,environment,(unused),elapsedTime,epoch,iteration,accuracy,f1,precision,recall,gmeasure,mcc,score,before or after averaging,#peers included in current batch
5570, Figure 4.3 - bristle, 0, 42279, 0, 20, 0.01, 0.008888888888888889, 0.007407407407407408, 0.01, 0.008164965809277261, NaN, 1.5062901969044518, before, 5
5584, Figure 4.3 - bristle, 0, 42518, 5, 50, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.1361927709473016, before, 1
5584, Figure 4.3 - bristle, 0, 43021, 5, 50, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, 0.123950954302849, before, -
5570, Figure 4.3 - bristle, 0, 42942, 1, 20, 0.01, 0.008888888888888889, 0.007407407407407408, 0.01, 0.008164965809277261, NaN, 1.5062901969044518, before, -
5568, Figure 4.3 - bristle, 0, 47182, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11064859960400479, 0.6930203517925578, before, 4
5566, Figure 4.3 - bristle, 0, 47353, 4, 40, 0.92, 0.9202673350041772, 0.9254545454545454, 0.9200000000000002, 0.9214951626234195, 0.9128877744569934, 0.6993745591307095, before, 11
5558, Figure 4.3 - bristle, 0, 47386, 4, 40, 0.88, 0.8806880972484687, 0.906060606060606, 0.8800000000000001, 0.8867920063453443, 0.8749371953445415, 1.0296101227319063, before, 8
5554, Figure 4.3 - bristle, 0, 47647, 4, 40, 0.84, 0.8266572643043231, 0.8750757575757575, 0.8400000000000001, 0.8412400309469307, 0.8268826858372871, 0.8224591049800196, before, 11
5568, Figure 4.3 - bristle, 0, 47651, 1, 30, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11064859960400479, 0.7823731796579194, before, -
5566, Figure 4.3 - bristle, 0, 47822, 4, 40, 0.77, 0.7483915431161023, 0.8555594405594406, 0.77, 0.7751027273983424, 0.7568641355245145, 0.8294225401413116, before, -
5558, Figure 4.3 - bristle, 0, 48044, 4, 40, 0.84, 0.8407435254803677, 0.9073376623376623, 0.8400000000000001, 0.8566369047363169, 0.8429827790994933, 0.9897003831695624, before, -
5554, Figure 4.3 - bristle, 0, 48260, 4, 40, 0.81, 0.7854895814125024, 0.864298245614035, 0.8099999999999999, 0.8062349763803305, 0.7907971555424862, 0.9389809774102743, before, -
